X,Player,avg,gp.gs,ab,r,h,X2b,X3b,hr,rbi,tb,slg.,bb,hbp,so,gdp,ob.,sf,sh,sb.att,era,w.l,app.gs,cg,sho,sv,ip,er,b.avg,wp,bk,Year,Gametype
1,"RICHARDSON Denzel, AMS",0.388,35-35,134,24,52,13,3,4,38,83,0.619,19,1,18,2,0.459,3,0,13-14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
2,"LAMPE Gilmer, AMS",0.382,38-37,136,38,52,14,3,4,36,84,0.618,26,3,21,3,0.479,4,1,16-19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
3,"KEMP Dwayne, NEP",0.364,42-41,176,32,64,12,4,4,40,96,0.545,9,3,4,5,0.4,2,0,22-25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
4,"DAANTJI Shaldimar, NEP",0.358,40-39,137,29,49,3,2,2,21,62,0.453,15,0,11,2,0.421,0,2,10-11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
5,"LEONORA Dudley, NEP",0.335,41-41,158,32,53,12,0,0,28,65,0.411,13,0,8,6,0.373,6,1,11-17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
6,"ENGELHARDT Rachid, QUI",0.333,42-42,174,34,58,6,2,1,23,71,0.408,12,5,15,8,0.391,1,0,6-7,99,0-0,1-0,0,0/0,0,0,3,0.667,0,1,"Seizoen 2019","Reguliere competitie"
7,"DILLE Benjamin, NEP",0.32,37-36,128,35,41,3,2,1,22,51,0.398,23,3,4,5,0.427,3,4,7-7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
8,"MEER vd Stijn, NEP",0.309,42-42,165,39,51,10,1,0,19,63,0.382,23,3,4,0,0.401,1,3,6-9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
9,"HALMAN Jason, TWI",0.305,42-41,164,24,50,17,0,3,27,76,0.463,10,2,39,3,0.346,3,0,1-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
10,"DAAL Rodney, HCA",0.304,39-39,138,24,42,7,1,5,25,66,0.478,25,4,14,3,0.42,2,0,6-10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
11,"BOEKHOUDT Gianison, NEP",0.302,38-38,129,24,39,7,0,6,33,64,0.496,32,0,29,6,0.436,2,2,5-8,0,0-0,1-0,0,0/0,0,1,0,0,0,0,"Seizoen 2019","Reguliere competitie"
12,"BOERSMA Tyler, PIO",0.301,36-31,123,15,37,2,0,0,25,39,0.317,17,1,6,1,0.39,0,1,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
13,"BOK Patrick, HCA",0.295,41-41,146,15,43,7,0,1,20,53,0.363,15,2,27,5,0.366,1,1,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
14,"NUIJTEN Duco, PIO",0.294,38-38,126,17,37,0,0,0,8,37,0.294,8,11,9,1,0.386,0,5,5-8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
15,"ENGELHARDT Bryan, QUI",0.294,37-36,126,29,37,11,2,6,34,70,0.556,21,3,27,0,0.401,2,0,11-14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
16,"HALDERMAN Koen, DSS",0.29,34-33,124,19,36,9,0,0,11,45,0.363,10,0,15,4,0.343,0,3,6-6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
17,"JACOBS Raul, PIO",0.288,42-42,156,32,45,7,1,0,11,54,0.346,17,14,26,3,0.404,1,5,18-21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2019","Reguliere competitie"
